STT,Biệt dược,SĐK,Hoạt chất,Chỉ định nguồn,Thuật ngữ gợi ý,Mã ICD-10,Tên ICD-10 chính thức,Cảnh báo mã
65,Curam 625mg,900110976524,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Nhiễm khuẩn hô hấp trên,J06.9,"Nhiễm trùng đường hô hấp trên cấp tính, không xác định",
65,Curam 625mg,900110976524,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm","Nhiễm khuẩn hô hấp dưới, chưa xác định vị trí",J22,Nhiễm trùng hô hấp dưới cấp tính không xác định,
65,Curam 625mg,900110976524,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Viêm xương tủy,M86.9,"Viêm xương tủy, không xác định",Có mã 4/5 ký tự cụ thể hơn
65,Curam 625mg,900110976524,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Viêm phúc mạc/nhiễm khuẩn ổ bụng,K65.9,"Viêm phúc mạc, không xác định",
65,Curam 625mg,900110976524,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Nhiễm khuẩn tiết niệu,N39.0,"Nhiễm trùng đường tiết niệu, vị trí không xác định",
65,Curam 625mg,900110976524,Amoxicilin + acid clavulanic,"Nhiễm khuẩn hô hấp, tai-mũi-họng, tiết niệu, da-mô mềm, răng-hàm-mặt, xương khớp hoặc ổ bụng do vi khuẩn nhạy cảm",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
66,Dalekine,VD-32762-19,Natri valproat,Động kinh toàn thể hoặc cục bộ; hưng cảm trong rối loạn lưỡng cực; dự phòng đau nửa đầu ở một số chế phẩm,Động kinh,G40.9,"Bệnh động kinh, không xác định",
66,Dalekine,VD-32762-19,Natri valproat,Động kinh toàn thể hoặc cục bộ; hưng cảm trong rối loạn lưỡng cực; dự phòng đau nửa đầu ở một số chế phẩm,"Rối loạn lưỡng cực, giai đoạn hưng cảm",F31.1,"Rối loạn cảm xúc lưỡng cực, hiện tại giai đoạn hưng cảm không có triệu chứng loạn thần",
66,Dalekine,VD-32762-19,Natri valproat,Động kinh toàn thể hoặc cục bộ; hưng cảm trong rối loạn lưỡng cực; dự phòng đau nửa đầu ở một số chế phẩm,Đau nửa đầu,G43.9,"Bệnh đau nửa đầu [migraine], không xác định",
67,Danapha-Telfadin,VD-24082-16,Fexofenadin,Viêm mũi dị ứng theo mùa; mày đay mạn,Viêm mũi dị ứng,J30.4,"Viêm mũi dị ứng, không xác định",
67,Danapha-Telfadin,VD-24082-16,Fexofenadin,Viêm mũi dị ứng theo mùa; mày đay mạn,Viêm mũi,J31.0,Viêm mũi mạn tính,
67,Danapha-Telfadin,VD-24082-16,Fexofenadin,Viêm mũi dị ứng theo mùa; mày đay mạn,Mày đay,L50.9,"Bệnh mày đay, không xác định",
68,Danapha-Telfadin 180,VD-28786-18,Fexofenadin,Viêm mũi dị ứng theo mùa; mày đay mạn,Viêm mũi dị ứng,J30.4,"Viêm mũi dị ứng, không xác định",
68,Danapha-Telfadin 180,VD-28786-18,Fexofenadin,Viêm mũi dị ứng theo mùa; mày đay mạn,Viêm mũi,J31.0,Viêm mũi mạn tính,
68,Danapha-Telfadin 180,VD-28786-18,Fexofenadin,Viêm mũi dị ứng theo mùa; mày đay mạn,Mày đay,L50.9,"Bệnh mày đay, không xác định",
69,Daphazyl,893115264223,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Nhiễm khuẩn răng-miệng/áp xe răng,K04.7,Áp xe quanh chóp răng không có lỗ rò,
69,Daphazyl,893115264223,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Viêm nướu,K05.1,Viêm lợi [nướu] mạn tính,
69,Daphazyl,893115264223,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Viêm nha chu,K05.3,Viêm quanh răng [nha chu] mạn tính,
69,Daphazyl,893115264223,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Viêm tuyến mang tai,K11.2,Viêm tuyến nước bọt,
69,Daphazyl,893115264223,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Dự phòng nhiễm khuẩn/thủ thuật,Z29.2,Hóa trị liệu dự phòng khác,
70,Daphazyl,VD-28787-18,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Nhiễm khuẩn răng-miệng/áp xe răng,K04.7,Áp xe quanh chóp răng không có lỗ rò,
70,Daphazyl,VD-28787-18,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Viêm nướu,K05.1,Viêm lợi [nướu] mạn tính,
70,Daphazyl,VD-28787-18,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Viêm nha chu,K05.3,Viêm quanh răng [nha chu] mạn tính,
70,Daphazyl,VD-28787-18,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Viêm tuyến mang tai,K11.2,Viêm tuyến nước bọt,
70,Daphazyl,VD-28787-18,Spiramycin 750.000 IU + metronidazol 125 mg,"Nhiễm khuẩn răng–miệng cấp, mạn hoặc tái phát do vi khuẩn nhạy cảm, như áp xe răng, viêm quanh thân răng, viêm nướu, viêm nha chu và viêm tuyến mang tai theo tờ HDSD. | Dự phòng biến chứng nhiễm khuẩn tại chỗ sau thủ thuật răng–miệng khi có chỉ định.",Dự phòng nhiễm khuẩn/thủ thuật,Z29.2,Hóa trị liệu dự phòng khác,
71,Desloratadin ODT 5,VD-35516-21,Desloratadin,Viêm mũi dị ứng; mày đay mạn tự phát,Viêm mũi dị ứng,J30.4,"Viêm mũi dị ứng, không xác định",
71,Desloratadin ODT 5,VD-35516-21,Desloratadin,Viêm mũi dị ứng; mày đay mạn tự phát,Viêm mũi,J31.0,Viêm mũi mạn tính,
71,Desloratadin ODT 5,VD-35516-21,Desloratadin,Viêm mũi dị ứng; mày đay mạn tự phát,Mày đay,L50.9,"Bệnh mày đay, không xác định",
72,Dexamethasone,VD-25856-16,Dexamethason natri phosphat,"Chống viêm, chống dị ứng, phù não, hỗ trợ chống nôn hóa trị và các chỉ định chuyên khoa",Phản ứng dị ứng,T78.4,"Dị ứng, không xác định",
72,Dexamethasone,VD-25856-16,Dexamethason natri phosphat,"Chống viêm, chống dị ứng, phù não, hỗ trợ chống nôn hóa trị và các chỉ định chuyên khoa",Phù não,G93.6,Phù não,
72,Dexamethasone,VD-25856-16,Dexamethason natri phosphat,"Chống viêm, chống dị ứng, phù não, hỗ trợ chống nôn hóa trị và các chỉ định chuyên khoa",Hóa trị ung thư,Z51.1,Đợt hóa trị liệu điều trị u tân sinh,
72,Dexamethasone,VD-25856-16,Dexamethason natri phosphat,"Chống viêm, chống dị ứng, phù não, hỗ trợ chống nôn hóa trị và các chỉ định chuyên khoa",Buồn nôn/nôn,R11,Buồn nôn và/hoặc nôn,
73,Dexamethasone,893110237800,Dexamethason natri phosphat,"Chống viêm, chống dị ứng, phù não, hỗ trợ chống nôn hóa trị và các chỉ định chuyên khoa",Phản ứng dị ứng,T78.4,"Dị ứng, không xác định",
73,Dexamethasone,893110237800,Dexamethason natri phosphat,"Chống viêm, chống dị ứng, phù não, hỗ trợ chống nôn hóa trị và các chỉ định chuyên khoa",Phù não,G93.6,Phù não,
73,Dexamethasone,893110237800,Dexamethason natri phosphat,"Chống viêm, chống dị ứng, phù não, hỗ trợ chống nôn hóa trị và các chỉ định chuyên khoa",Hóa trị ung thư,Z51.1,Đợt hóa trị liệu điều trị u tân sinh,
73,Dexamethasone,893110237800,Dexamethason natri phosphat,"Chống viêm, chống dị ứng, phù não, hỗ trợ chống nôn hóa trị và các chỉ định chuyên khoa",Buồn nôn/nôn,R11,Buồn nôn và/hoặc nôn,
74,Dexmed Kabi,900114962924,Dexmedetomidin,An thần bệnh nhân thở máy; an thần thủ thuật với khả năng đánh thức tương đối,Phụ thuộc máy thở/thông khí cơ học,Z99.1,Tình trạng phụ thuộc vào máy thở,
75,Dextrose,VN-22248-19,Glucose,Cung cấp nước/năng lượng | điều trị hạ đường huyết; dung môi truyền thuốc phù hợp,Hạ đường huyết,E16.2,"Hạ đường huyết, không xác định",
75,Dextrose,VN-22248-19,Glucose,Cung cấp nước/năng lượng | điều trị hạ đường huyết; dung môi truyền thuốc phù hợp,Chăm sóc y tế khác/dung môi pha thuốc,Z51.8,Chăm sóc y tế xác định khác,
76,Diamicron MR 30mg BVVT-26,VN-20549-17,Gliclazid,"Đái tháo đường typ 2 khi chế độ ăn, vận động và giảm cân chưa đủ",Đái tháo đường typ 2,E11.9,"Bệnh đái tháo đường típ 2, không kèm biến chứng",
77,Diamicron MR 60mg BVVT-25,VN-20796-17,Gliclazid,"Đái tháo đường typ 2 khi chế độ ăn, vận động và giảm cân chưa đủ",Đái tháo đường typ 2,E11.9,"Bệnh đái tháo đường típ 2, không kèm biến chứng",
78,Diamicron MR 60mg BVVT-26,VN-20796-17,Gliclazid,"Đái tháo đường typ 2 khi chế độ ăn, vận động và giảm cân chưa đủ",Đái tháo đường typ 2,E11.9,"Bệnh đái tháo đường típ 2, không kèm biến chứng",
79,Diazepam 10mg/2ml,893112683724,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Động kinh,G40.9,"Bệnh động kinh, không xác định",
79,Diazepam 10mg/2ml,893112683724,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Co giật,R56.8,Co giật khác và/hoặc không xác định,
79,Diazepam 10mg/2ml,893112683724,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Trạng thái động kinh,G41.9,"Trạng thái động kinh, không xác định",
79,Diazepam 10mg/2ml,893112683724,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Rối loạn lo âu,F41.9,"Rối loạn lo âu, không xác định",
79,Diazepam 10mg/2ml,893112683724,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Cai rượu,F10.3,"Rối loạn tâm thần và/hoặc hành vi do sử dụng rượu, trạng thái cai",
79,Diazepam 10mg/2ml,893112683724,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Co thắt cơ,M62.8,Rối loạn xác định khác của cơ,Có mã 4/5 ký tự cụ thể hơn
79,Diazepam 10mg/2ml,893112683724,Diazepam,Điều trị ngắn hạn lo âu nặng; co thắt cơ; trạng thái động kinh/co giật cấp; tiền mê; cai rượu,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
80,Diclofenac,893110081424,Diclofenac,"Đau và viêm cấp trong bệnh cơ xương khớp | đau sau phẫu thuật, cơn đau quặn, thống kinh",Đau,R52.9,"Đau, không xác định",
80,Diclofenac,893110081424,Diclofenac,"Đau và viêm cấp trong bệnh cơ xương khớp | đau sau phẫu thuật, cơn đau quặn, thống kinh",Đau bụng,R10.4,Đau bụng khác và/hoặc không xác định,
80,Diclofenac,893110081424,Diclofenac,"Đau và viêm cấp trong bệnh cơ xương khớp | đau sau phẫu thuật, cơn đau quặn, thống kinh",Thống kinh,N94.6,"Đau bụng kinh, không xác định",Mã chỉ/chủ yếu ở nữ
81,Digoxin-BFS,VD-31618-19,Digoxin,Suy tim có triệu chứng chọn lọc; kiểm soát tần số thất trong rung nhĩ,Suy tim,I50.9,"Suy tim, không xác định",
81,Digoxin-BFS,VD-31618-19,Digoxin,Suy tim có triệu chứng chọn lọc; kiểm soát tần số thất trong rung nhĩ,Rung nhĩ,I48.9,"Rung nhĩ và/hoặc cuồng nhĩ, không xác định",
82,DigoxineQualy,89311028024,Digoxin,Suy tim có triệu chứng chọn lọc; kiểm soát tần số thất trong rung nhĩ,Suy tim,I50.9,"Suy tim, không xác định",
82,DigoxineQualy,89311028024,Digoxin,Suy tim có triệu chứng chọn lọc; kiểm soát tần số thất trong rung nhĩ,Rung nhĩ,I48.9,"Rung nhĩ và/hoặc cuồng nhĩ, không xác định",
83,Diprospan 1 ml,VN-15551-12,Betamethason dipropionat + betamethason phosphat,"Các bệnh viêm/dị ứng nặng đáp ứng corticosteroid; tiêm nội khớp, quanh khớp hoặc tại tổn thương chọn lọc",Phản ứng dị ứng,T78.4,"Dị ứng, không xác định",
84,Disthyrox,VD-21846-14,Levothyroxin natri,Suy giáp | ức chế TSH trong một số bệnh tuyến giáp theo chuyên khoa,Suy giáp,E03.9,"Suy tuyến giáp, không xác định",
85,Dobutamin-BFS,VD-26125-17,Dobutamin,Suy tim cấp/cung lượng tim thấp; sốc tim sau khi tối ưu thể tích và huyết áp; nghiệm pháp gắng sức bằng thuốc,Suy tim,I50.9,"Suy tim, không xác định",
85,Dobutamin-BFS,VD-26125-17,Dobutamin,Suy tim cấp/cung lượng tim thấp; sốc tim sau khi tối ưu thể tích và huyết áp; nghiệm pháp gắng sức bằng thuốc,Sốc tim,R57.0,Sốc tim,
86,Dopolys-S,VD-34855-20,Ginkgo biloba + heptaminol + troxerutin,Điều trị triệu chứng suy tĩnh mạch-bạch huyết và cơn trĩ cấp,Suy tĩnh mạch mạn,I87.2,Suy tĩnh mạch (mạn tính) (ngoại vi),
86,Dopolys-S,VD-34855-20,Ginkgo biloba + heptaminol + troxerutin,Điều trị triệu chứng suy tĩnh mạch-bạch huyết và cơn trĩ cấp,Trĩ,K64.9,"Bệnh trĩ, không xác định",
87,Dotarem,VN-23274-22,Acid gadoteric,Thuốc đối quang từ dùng trong cộng hưởng từ để tăng tương phản hình ảnh,Khám/chẩn đoán hình ảnh bằng cộng hưởng từ,Z01.8,Khám chuyên khoa xác định khác,
88,Dotarem 10ml,VN-15929-12,Acid gadoteric,Thuốc đối quang từ dùng trong cộng hưởng từ để tăng tương phản hình ảnh,Khám/chẩn đoán hình ảnh bằng cộng hưởng từ,Z01.8,Khám chuyên khoa xác định khác,
89,Doxorubicin,893114093323,Doxorubicin,Nhiều ung thư đặc và bệnh ác tính huyết học theo phác đồ,Bệnh ác tính/ung thư khác,C80.9,"U ác tính, vị trí nguyên phát không xác định",
90,Doxorubicin Bidiphar 50,QLĐB-693-18,Doxorubicin,Nhiều ung thư đặc và bệnh ác tính huyết học theo phác đồ,Bệnh ác tính/ung thư khác,C80.9,"U ác tính, vị trí nguyên phát không xác định",
91,Drotusc Forte,VD-24789-16,Drotaverin,"Co thắt cơ trơn đường tiêu hóa, đường mật, tiết niệu và tử cung | đau quặn do co thắt",Co thắt cơ,M62.8,Rối loạn xác định khác của cơ,Có mã 4/5 ký tự cụ thể hơn
91,Drotusc Forte,VD-24789-16,Drotaverin,"Co thắt cơ trơn đường tiêu hóa, đường mật, tiết niệu và tử cung | đau quặn do co thắt",Đau bụng,R10.4,Đau bụng khác và/hoặc không xác định,
92,"Dung dịch rửa vết thương Natri clorid 0,9%",VD-30953-18,Natri clorid,"Rửa, làm sạch vết thương, niêm mạc hoặc dụng cụ theo mục đích sản phẩm",Chăm sóc vết thương,Z48.0,Chăm sóc liên quan băng và/hoặc vết khâu phẫu thuật,
93,Dung dịch vệ sinh phụ nữ Crevil,189776/22/CBMP-QLD,Dịch chiết cúc La Mã + xô thơm dùng vệ sinh ngoài,"Làm sạch và hỗ trợ vệ sinh vùng kín | đây là mỹ phẩm, không phải thuốc điều trị viêm nhiễm","Can thiệp chăm sóc/vệ sinh, không phải điều trị bệnh",Z41.8,Can thiệp khác vì mục đích khác ngoài phục hồi tình trạng sức khỏe,
94,Duphaston 10mg,VN-12830-11,Dydrogesteron,"Thiếu progesteron, rối loạn kinh nguyệt, lạc nội mạc tử cung, hỗ trợ hoàng thể và một số trường hợp dọa sẩy thai theo bác sĩ",Lạc nội mạc tử cung,N80.9,"Lạc nội mạc tử cung, không xác định",Mã chỉ/chủ yếu ở nữ
94,Duphaston 10mg,VN-12830-11,Dydrogesteron,"Thiếu progesteron, rối loạn kinh nguyệt, lạc nội mạc tử cung, hỗ trợ hoàng thể và một số trường hợp dọa sẩy thai theo bác sĩ",Dọa sẩy thai,O20.0,Dọa sảy thai,Mã chỉ/chủ yếu ở nữ
95,Easylax,190000999/PCBA-HN,Dụng cụ/dung dịch thụt trực tràng,Hỗ trợ tháo phân/táo bón ngắn hạn,Táo bón,K59.0,Táo bón,
96,Ediwel,VD-20441-14,Clopidogrel,"Dự phòng biến cố huyết khối động mạch sau hội chứng vành cấp, can thiệp mạch vành, nhồi máu cơ tim hoặc đột quỵ thiếu máu cục bộ",Hội chứng vành cấp,I24.9,"Bệnh tim do thiếu máu cục bộ cấp tính, không xác định",
96,Ediwel,VD-20441-14,Clopidogrel,"Dự phòng biến cố huyết khối động mạch sau hội chứng vành cấp, can thiệp mạch vành, nhồi máu cơ tim hoặc đột quỵ thiếu máu cục bộ",Nhồi máu cơ tim,I21.9,"Nhồi máu cơ tim cấp tính, không xác định",
96,Ediwel,VD-20441-14,Clopidogrel,"Dự phòng biến cố huyết khối động mạch sau hội chứng vành cấp, can thiệp mạch vành, nhồi máu cơ tim hoặc đột quỵ thiếu máu cục bộ",Đột quỵ thiếu máu não,I63.9,"Nhồi máu não, không xác định",
97,Effe-C TP,VD-29387-18,Acid ascorbic (vitamin C),Phòng và điều trị thiếu vitamin C; hỗ trợ khi nhu cầu tăng,"Thiếu vitamin, không xác định",E56.9,"Thiếu vitamin, không xác định",
97,Effe-C TP,VD-29387-18,Acid ascorbic (vitamin C),Phòng và điều trị thiếu vitamin C; hỗ trợ khi nhu cầu tăng,Thiếu vitamin C,E54,Thiếu acid ascorbic,
98,Emla cream 5%,VN-19787-16,Lidocain + prilocain,"Gây tê bề mặt da trước chọc kim, thủ thuật nông hoặc làm sạch loét chọn lọc",Chăm sóc liên quan gây tê bề mặt/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
99,Endoxan 200mg,VN-16581-13,Cyclophosphamid,Nhiều bệnh ác tính huyết học/u đặc; một số bệnh tự miễn nặng theo chuyên khoa,Bệnh ác tính/ung thư khác,C80.9,"U ác tính, vị trí nguyên phát không xác định",
99,Endoxan 200mg,VN-16581-13,Cyclophosphamid,Nhiều bệnh ác tính huyết học/u đặc; một số bệnh tự miễn nặng theo chuyên khoa,Bệnh tự miễn,M35.9,"Tổn thương hệ thống của mô liên kết, không xác định",
100,Ephedrine Aguettant 30mg/ml,VN-19221-15,Ephedrin,"Điều trị hạ huyết áp trong gây tê tủy sống hoặc gây mê, đặc biệt khi kèm nhịp chậm tương đối",Nhịp chậm,R00.1,"Nhịp tim chậm, không xác định",
100,Ephedrine Aguettant 30mg/ml,VN-19221-15,Ephedrin,"Điều trị hạ huyết áp trong gây tê tủy sống hoặc gây mê, đặc biệt khi kèm nhịp chậm tương đối",Hạ huyết áp,I95.9,"Hạ huyết áp, không xác định",
100,Ephedrine Aguettant 30mg/ml,VN-19221-15,Ephedrin,"Điều trị hạ huyết áp trong gây tê tủy sống hoặc gây mê, đặc biệt khi kèm nhịp chậm tương đối",Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
101,Epirubicin Bidiphar 50,893114115023,Epirubicin,"Ung thư vú, dạ dày, buồng trứng, lymphoma và ung thư khác theo phác đồ",Ung thư vú,C50.9,"U ác tính ở vú, không xác định",
101,Epirubicin Bidiphar 50,893114115023,Epirubicin,"Ung thư vú, dạ dày, buồng trứng, lymphoma và ung thư khác theo phác đồ",Lymphoma,C85.9,"U lympho không Hodgkin, loại không xác định",
101,Epirubicin Bidiphar 50,893114115023,Epirubicin,"Ung thư vú, dạ dày, buồng trứng, lymphoma và ung thư khác theo phác đồ",Bệnh ác tính/ung thư khác,C80.9,"U ác tính, vị trí nguyên phát không xác định",
102,Femara,760114186923,Letrozol,Ung thư vú phụ thuộc hormon ở phụ nữ mãn kinh; một số phác đồ hỗ trợ sinh sản theo chuyên khoa,Vô sinh nữ/không phóng noãn,N97.9,"Vô sinh ở nữ giới, không xác định",Mã chỉ/chủ yếu ở nữ
102,Femara,760114186923,Letrozol,Ung thư vú phụ thuộc hormon ở phụ nữ mãn kinh; một số phác đồ hỗ trợ sinh sản theo chuyên khoa,Ung thư vú,C50.9,"U ác tính ở vú, không xác định",
103,Fentanyl 50 micrograms/ml,VN-22499-20,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Đau,R52.9,"Đau, không xác định",
103,Fentanyl 50 micrograms/ml,VN-22499-20,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
103,Fentanyl 50 micrograms/ml,VN-22499-20,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Phụ thuộc máy thở/thông khí cơ học,Z99.1,Tình trạng phụ thuộc vào máy thở,
104,Fentanyl B.Braun 0.1mg/2ml,VN-22494-20,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Đau,R52.9,"Đau, không xác định",
104,Fentanyl B.Braun 0.1mg/2ml,VN-22494-20,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
104,Fentanyl B.Braun 0.1mg/2ml,VN-22494-20,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Phụ thuộc máy thở/thông khí cơ học,Z99.1,Tình trạng phụ thuộc vào máy thở,
105,Fentanyl-Hameln 50 mcg/ml,VN-17325-13,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Đau,R52.9,"Đau, không xác định",
105,Fentanyl-Hameln 50 mcg/ml,VN-17325-13,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Chăm sóc liên quan gây tê/gây mê/thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
105,Fentanyl-Hameln 50 mcg/ml,VN-17325-13,Fentanyl,Giảm đau mạnh; bổ trợ gây mê; an thần giảm đau ở bệnh nhân thở máy,Phụ thuộc máy thở/thông khí cơ học,Z99.1,Tình trạng phụ thuộc vào máy thở,
106,Fosmicin for I.V.USE 2g,VN-13785-11,Fosfomycin natri,"Nhiễm khuẩn nặng do vi khuẩn nhạy cảm, đặc biệt Gram âm đa kháng, xương khớp, huyết hoặc TKTW trong phác đồ phối hợp",Viêm xương tủy,M86.9,"Viêm xương tủy, không xác định",Có mã 4/5 ký tự cụ thể hơn
106,Fosmicin for I.V.USE 2g,VN-13785-11,Fosfomycin natri,"Nhiễm khuẩn nặng do vi khuẩn nhạy cảm, đặc biệt Gram âm đa kháng, xương khớp, huyết hoặc TKTW trong phác đồ phối hợp",Nhiễm khuẩn huyết,A41.9,"Nhiễm trùng hệ thống, không xác định",
106,Fosmicin for I.V.USE 2g,VN-13785-11,Fosfomycin natri,"Nhiễm khuẩn nặng do vi khuẩn nhạy cảm, đặc biệt Gram âm đa kháng, xương khớp, huyết hoặc TKTW trong phác đồ phối hợp",Nhiễm khuẩn da và mô mềm,L08.9,"Nhiễm trùng khu trú ở da và/hoặc mô dưới da, không xác định",
107,Fresofol 1% Mct/Lct Inj 20ml 5's,VN-17438-13,Propofol,Khởi mê và duy trì gây mê; an thần thủ thuật; an thần bệnh nhân thở máy,Chăm sóc liên quan gây mê/an thần thủ thuật,Z51.4,"Chăm sóc chuẩn bị cho điều trị tiếp theo, không phân loại mục khác",
107,Fresofol 1% Mct/Lct Inj 20ml 5's,VN-17438-13,Propofol,Khởi mê và duy trì gây mê; an thần thủ thuật; an thần bệnh nhân thở máy,Phụ thuộc máy thở,Z99.1,Tình trạng phụ thuộc vào máy thở,
